assessment_id,student_id,course_id,enrollment_date,completion_date,completion_status,score,time_spent_hours,quiz_attempts,certificate_issued,feedback_rating,last_activity_date
ASS0000001,STU00437,CRS0064,2022-06-19,,Not Started,32.1,17.5,3,True,5,2022-07-17
ASS0000002,STU00282,CRS0083,2023-01-23,2023-02-23,Completed,45.9,28.1,4,True,4,2023-03-21
ASS0000003,STU00162,CRS0016,2023-05-25,2023-05-28,Completed,40.3,1.8,5,True,1,2023-08-10
ASS0000004,STU00494,CRS0080,2023-10-15,2023-12-20,In Progress,65.5,26.7,3,False,1,2023-11-12
ASS0000005,STU00433,CRS0059,2022-12-06,2023-02-24,Not Started,71.7,20.7,4,True,1,2023-02-28
ASS0000006,STU00114,CRS0001,2022-12-16,2023-03-08,Dropped,54.8,19.8,1,True,2,2023-02-17
ASS0000007,STU00072,CRS0092,2023-02-24,,In Progress,18.8,18.6,4,True,4,2023-03-20
ASS0000008,STU00367,CRS0044,2022-04-21,2022-04-27,Completed,77.2,24.2,5,False,2,2022-06-23
ASS0000009,STU00003,CRS0068,2022-02-19,2022-04-16,Not Started,92.4,18.9,2,False,5,2022-03-13
ASS0000010,STU00375,CRS0017,2022-04-17,2022-07-03,Dropped,50.4,19.5,5,False,2,2022-05-22
ASS0000011,STU00204,CRS0044,2022-10-29,2022-11-16,In Progress,41.3,37.3,5,False,5,2022-12-08
ASS0000012,STU00365,CRS0095,2023-07-21,2023-08-16,In Progress,62.4,7.6,3,False,2,2023-10-19
ASS0000013,STU00333,CRS0023,2023-05-31,2023-08-21,Dropped,71.0,35.9,5,False,5,2023-08-12
ASS0000014,STU00483,CRS0086,2023-03-04,2023-05-12,Dropped,87.7,11.3,1,False,1,2023-03-07
ASS0000015,STU00196,CRS0019,2022-02-24,2022-03-22,Dropped,75.0,4.8,3,False,3,2022-03-14
ASS0000016,STU00430,CRS0008,2022-10-30,2023-01-08,Completed,35.9,25.6,5,False,5,2022-11-27
ASS0000017,STU00381,CRS0083,2023-07-29,2023-10-03,Dropped,69.3,2.1,4,False,4,2023-10-24
ASS0000018,STU00161,CRS0071,2022-02-25,,Dropped,20.3,43.5,4,True,3,2022-05-11
ASS0000019,STU00280,CRS0095,2023-09-10,,In Progress,29.4,4.8,1,True,2,2023-11-14
ASS0000020,STU00062,CRS0049,2022-02-11,2022-04-24,Dropped,13.0,34.1,3,True,3,2022-04-11
ASS0000021,STU00364,CRS0020,2022-02-10,,Dropped,59.7,13.3,5,False,3,2022-04-13
ASS0000022,STU00405,CRS0074,2023-07-18,2023-08-28,In Progress,95.7,22.6,5,True,4,2023-09-25
ASS0000023,STU00275,CRS0052,2022-04-05,2022-05-03,Dropped,33.1,13.9,5,False,4,2022-06-15
ASS0000024,STU00422,CRS0097,2023-10-27,,Dropped,44.6,25.4,5,False,2,2023-11-01
ASS0000025,STU00350,CRS0042,2023-01-26,2023-02-10,Not Started,25.7,26.9,1,False,3,2023-04-01
ASS0000026,STU00412,CRS0066,2023-04-02,2023-05-10,In Progress,32.0,4.2,1,True,5,2023-06-09
ASS0000027,STU00004,CRS0081,2022-03-09,2022-05-29,In Progress,86.5,15.1,1,True,5,2022-06-06
ASS0000028,STU00450,CRS0095,2023-03-22,2023-04-01,In Progress,2.4,18.1,1,True,1,2023-03-28
ASS0000029,STU00092,CRS0033,2023-07-26,,In Progress,91.1,19.9,4,False,4,2023-09-19
ASS0000030,STU00162,CRS0003,2023-02-03,2023-04-13,Completed,64.1,33.0,5,True,1,2023-03-20
ASS0000031,STU00476,CRS0065,2022-04-19,2022-07-16,Dropped,60.7,5.7,4,False,4,2022-07-12
ASS0000032,STU00016,CRS0061,2022-06-10,2022-06-28,Not Started,79.7,18.8,3,False,2,2022-07-18
ASS0000033,STU00347,CRS0094,2023-10-26,2023-10-28,In Progress,12.3,0.6,5,False,5,2024-01-04
ASS0000034,STU00485,CRS0011,2022-11-09,2022-12-24,In Progress,41.3,28.0,5,True,2,2022-12-02
ASS0000035,STU00114,CRS0079,2022-09-16,,In Progress,67.1,28.0,1,False,4,2022-12-07
ASS0000036,STU00282,CRS0010,2022-10-25,2022-11-27,Completed,19.7,21.7,3,False,2,2023-01-18
